,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
191,"['Speed Boost', 'Compoundeyes', 'Frisk']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,65.0,5120,70,390,75,Clear Wing Pokémon,45.0,1000000,1.2,65.0,Yanyanmaヤンヤンマ,Yanma,50.0,193,75.0,45.0,95.0,Bug,Flying,38.0,2,0
192,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,45.0,5120,70,210,255,Water Fish Pokémon,45.0,1000000,0.4,55.0,Upahウパー,Wooper,50.0,194,25.0,25.0,15.0,Water,Ground,8.5,2,0
193,"['Damp', 'Water Absorb', 'Unaware']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85.0,5120,70,430,90,Water Fish Pokémon,85.0,1000000,1.4,95.0,Nuohヌオー,Quagsire,50.0,195,65.0,65.0,35.0,Water,Ground,75.0,2,0
194,"['Synchronize', 'Magic Bounce']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,65.0,8960,70,525,45,Sun Pokémon,60.0,1000000,0.9,65.0,Eifieエーフィ,Espeon,88.1,196,130.0,95.0,110.0,Psychic,,26.5,2,0
195,"['Synchronize', 'Inner Focus']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,65.0,8960,35,525,45,Moonlight Pokémon,110.0,1000000,1.0,95.0,Blackyブラッキー,Umbreon,88.1,197,60.0,130.0,65.0,Dark,,27.0,2,0
196,"['Insomnia', 'Super Luck', 'Prankster']",1.0,0.5,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.5,0.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0,85.0,5120,35,405,30,Darkness Pokémon,42.0,1059860,0.5,60.0,Yamikarasuヤミカラス,Murkrow,50.0,198,85.0,42.0,91.0,Dark,Flying,2.1,2,0
197,"['Oblivious', 'Own Tempo', 'Regenerator']",2.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.5,75.0,5120,70,490,70,Royal Pokémon,80.0,1000000,2.0,95.0,Yadokingヤドキング,Slowking,50.0,199,100.0,110.0,30.0,Water,Psychic,79.5,2,0
198,['Levitate'],0.5,2.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,1.0,60.0,6400,35,435,45,Screech Pokémon,60.0,800000,0.7,60.0,Mumaムウマ,Misdreavus,50.0,200,85.0,85.0,85.0,Ghost,,1.0,2,0
199,['Levitate'],2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,72.0,10240,70,336,225,Symbol Pokémon,48.0,1000000,0.5,48.0,Unknownアンノーン,Unown,,201,72.0,48.0,48.0,Psychic,,5.0,2,0
200,"['Shadow Tag', 'Telepathy']",2.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,33.0,5120,70,405,45,Patient Pokémon,58.0,1000000,1.3,190.0,Sonansソーナンス,Wobbuffet,50.0,202,33.0,58.0,33.0,Psychic,,28.5,2,0
201,"['Inner Focus', 'Early Bird', 'Sap Sipper']",2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,80.0,5120,70,455,60,Long Neck Pokémon,65.0,1000000,1.5,70.0,Kirinrikiキリンリキ,Girafarig,50.0,203,90.0,65.0,85.0,Normal,Psychic,41.5,2,0
202,"['Sturdy', 'Overcoat']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,65.0,5120,70,290,190,Bagworm Pokémon,90.0,1000000,0.6,50.0,Kunugidamaクヌギダマ,Pineco,50.0,204,35.0,35.0,15.0,Bug,,7.2,2,0
203,"['Sturdy', 'Overcoat']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,90.0,5120,70,465,75,Bagworm Pokémon,140.0,1000000,1.2,75.0,Foretosフォレトス,Forretress,50.0,205,60.0,60.0,40.0,Bug,Steel,125.8,2,0
204,"['Serene Grace', 'Run Away', 'Rattled']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,5120,70,415,190,Land Snake Pokémon,70.0,1000000,1.5,100.0,Nokocchiノコッチ,Dunsparce,50.0,206,65.0,65.0,45.0,Normal,,14.0,2,0
205,"['Hyper Cutter', 'Sand Veil', 'Immunity']",0.5,1.0,1.0,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,4.0,1.0,0.5,1.0,1.0,1.0,2.0,75.0,5120,70,430,60,Flyscorpion Pokémon,105.0,1059860,1.1,65.0,Gligerグライガー,Gligar,50.0,207,35.0,65.0,85.0,Ground,Flying,64.8,2,0
206,"['Rock Head', 'Sturdy', 'Sheer Force']",0.5,1.0,0.5,0.0,0.5,2.0,2.0,0.5,1.0,1.0,2.0,1.0,0.5,0.0,0.5,0.25,0.5,2.0,85.0,6400,70,610,25,Iron Snake Pokémon,200.0,1000000,9.2,75.0,Haganeilハガネール,Steelix,50.0,208,55.0,65.0,30.0,Steel,Ground,400.0,2,0
207,"['Intimidate', 'Run Away', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,80.0,5120,70,300,190,Fairy Pokémon,50.0,800000,0.6,60.0,Buluブルー,Snubbull,24.6,209,40.0,40.0,30.0,Fairy,,7.8,2,0
208,"['Intimidate', 'Quick Feet', 'Rattled']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,120.0,5120,70,450,75,Fairy Pokémon,75.0,800000,1.4,90.0,Granbuluグランブル,Granbull,24.6,210,60.0,60.0,45.0,Fairy,,48.7,2,0
209,"['Poison Point', 'Swift Swim', 'Intimidate']",0.5,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,2.0,1.0,0.5,0.5,95.0,5120,70,440,45,Balloon Pokémon,75.0,1000000,0.5,65.0,Harysenハリーセン,Qwilfish,50.0,211,55.0,55.0,85.0,Water,Poison,3.9,2,0
210,"['Swarm', 'Technician', 'Light Metal']",0.5,1.0,0.5,1.0,0.5,1.0,4.0,1.0,1.0,0.25,1.0,0.5,0.5,0.0,0.5,1.0,0.5,1.0,130.0,6400,70,600,25,Pincer Pokémon,100.0,1000000,1.8,70.0,Hassamハッサム,Scizor,50.0,212,55.0,80.0,65.0,Bug,Steel,118.0,2,0
211,"['Sturdy', 'Gluttony', 'Contrary']",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,10.0,5120,70,505,190,Mold Pokémon,230.0,1059860,0.6,20.0,Tsubotsuboツボツボ,Shuckle,50.0,213,10.0,230.0,5.0,Bug,Rock,20.5,2,0
212,"['Swarm', 'Guts', 'Moxie']",0.5,0.5,1.0,1.0,2.0,0.5,2.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,1.0,1.0,1.0,125.0,6400,70,600,45,Singlehorn Pokémon,75.0,1250000,1.5,80.0,Heracrosヘラクロス,Heracross,50.0,214,40.0,95.0,85.0,Bug,Fighting,54.0,2,0
213,"['Inner Focus', 'Keen Eye', 'Pickpocket']",2.0,0.5,1.0,1.0,2.0,4.0,2.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.0,2.0,2.0,1.0,95.0,5120,35,430,60,Sharp Claw Pokémon,55.0,1059860,0.9,55.0,Nyulaニューラ,Sneasel,50.0,215,35.0,75.0,115.0,Dark,Ice,28.0,2,0
214,"['Pickup', 'Quick Feet', 'Honey Gather']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,5120,70,330,120,Little Bear Pokémon,50.0,1000000,0.6,60.0,Himegumaヒメグマ,Teddiursa,50.0,216,50.0,50.0,40.0,Normal,,8.8,2,0
215,"['Guts', 'Quick Feet', 'Unnerve']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.0,5120,70,500,60,Hibernator Pokémon,75.0,1000000,1.8,90.0,Ringumaリングマ,Ursaring,50.0,217,75.0,75.0,55.0,Normal,,125.8,2,0
216,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,40.0,5120,70,250,190,Lava Pokémon,40.0,1000000,0.7,40.0,Magmagマグマッグ,Slugma,50.0,218,70.0,40.0,20.0,Fire,,35.0,2,0
217,"['Magma Armor', 'Flame Body', 'Weak Armor']",0.5,1.0,1.0,1.0,0.5,2.0,0.25,0.5,1.0,1.0,4.0,0.5,0.5,0.5,1.0,2.0,1.0,4.0,50.0,5120,70,430,75,Lava Pokémon,120.0,1000000,0.8,50.0,Magcargotマグカルゴ,Magcargo,50.0,219,80.0,80.0,30.0,Fire,Rock,55.0,2,0
218,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,50.0,5120,70,250,225,Pig Pokémon,40.0,1250000,0.4,50.0,Urimooウリムー,Swinub,50.0,220,30.0,30.0,50.0,Ice,Ground,6.5,2,0
219,"['Oblivious', 'Snow Cloak', 'Thick Fat']",1.0,1.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,100.0,5120,70,450,75,Swine Pokémon,80.0,1250000,1.1,100.0,Inomooイノムー,Piloswine,50.0,221,60.0,60.0,50.0,Ice,Ground,55.8,2,0
220,"['Hustle', 'Natural Cure', 'Regenerator']",1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,1.0,4.0,2.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,55.0,5120,70,410,60,Coral Pokémon,85.0,800000,0.6,55.0,Sunnygoサニーゴ,Corsola,24.6,222,65.0,85.0,35.0,Water,Rock,5.0,2,0
221,"['Hustle', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,65.0,5120,70,300,190,Jet Pokémon,35.0,1000000,0.6,35.0,Teppouoテッポウオ,Remoraid,50.0,223,65.0,35.0,65.0,Water,,12.0,2,0
222,"['Suction Cups', 'Sniper', 'Moody']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,105.0,5120,70,480,75,Jet Pokémon,75.0,1000000,0.9,75.0,Okutankオクタン,Octillery,50.0,224,105.0,75.0,45.0,Water,,28.5,2,0
223,"['Vital Spirit', 'Hustle', 'Insomnia']",0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,55.0,5120,70,330,45,Delivery Pokémon,45.0,800000,0.9,45.0,Delibirdデリバード,Delibird,50.0,225,65.0,45.0,75.0,Ice,Flying,16.0,2,0
224,"['Swift Swim', 'Water Absorb', 'Water Veil']",0.5,1.0,1.0,4.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,0.5,0.5,40.0,6400,70,485,25,Kite Pokémon,70.0,1250000,2.1,65.0,Mantainマンタイン,Mantine,50.0,226,80.0,140.0,70.0,Water,Flying,220.0,2,0
225,"['Keen Eye', 'Sturdy', 'Weak Armor']",0.25,1.0,0.5,2.0,0.5,1.0,2.0,0.5,1.0,0.25,0.0,1.0,0.5,0.0,0.5,1.0,0.5,1.0,80.0,6400,70,465,25,Armor Bird Pokémon,140.0,1250000,1.7,65.0,Airmdエアームド,Skarmory,50.0,227,40.0,70.0,70.0,Steel,Flying,50.5,2,0
226,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,60.0,5120,35,330,120,Dark Pokémon,30.0,1250000,0.6,45.0,Delvilデルビル,Houndour,50.0,228,80.0,50.0,65.0,Dark,Fire,10.8,2,0
227,"['Early Bird', 'Flash Fire', 'Unnerve']",1.0,0.5,1.0,1.0,1.0,2.0,0.5,1.0,0.5,0.5,2.0,0.5,1.0,1.0,0.0,2.0,0.5,2.0,90.0,5120,35,600,45,Dark Pokémon,50.0,1250000,1.4,75.0,Hellgarヘルガー,Houndoom,50.0,229,110.0,80.0,95.0,Dark,Fire,35.0,2,0
228,"['Swift Swim', 'Sniper', 'Damp']",1.0,1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,95.0,5120,70,540,45,Dragon Pokémon,95.0,1000000,1.8,75.0,Kingdraキングドラ,Kingdra,50.0,230,95.0,95.0,85.0,Water,Dragon,152.0,2,0
229,"['Pickup', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,60.0,5120,70,330,120,Long Nose Pokémon,60.0,1000000,0.5,90.0,Gomazouゴマゾウ,Phanpy,50.0,231,40.0,40.0,40.0,Ground,,33.5,2,0
230,"['Sturdy', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,120.0,5120,70,500,60,Armor Pokémon,120.0,1000000,1.1,90.0,Donfanドンファン,Donphan,50.0,232,60.0,60.0,50.0,Ground,,120.0,2,0
231,"['Trace', 'Download', 'Analytic']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,5120,70,515,45,Virtual Pokémon,90.0,1000000,0.6,85.0,Porygon2ポリゴン２,Porygon2,,233,105.0,95.0,60.0,Normal,,32.5,2,0
232,"['Intimidate', 'Frisk', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,95.0,5120,70,465,45,Big Horn Pokémon,62.0,1250000,1.4,73.0,Odoshishiオドシシ,Stantler,50.0,234,85.0,65.0,85.0,Normal,,71.2,2,0
233,"['Own Tempo', 'Technician', 'Moody']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.0,5120,70,250,45,Painter Pokémon,35.0,800000,1.2,55.0,Dobleドーブル,Smeargle,50.0,235,20.0,45.0,75.0,Normal,,58.0,2,0
234,"['Guts', 'Steadfast', 'Vital Spirit']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,35.0,6400,70,210,75,Scuffle Pokémon,35.0,1000000,0.7,35.0,Balkieバルキー,Tyrogue,100.0,236,35.0,35.0,35.0,Fighting,,21.0,2,0
235,"['Intimidate', 'Technician', 'Steadfast']",0.5,0.5,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,1.0,95.0,6400,70,455,45,Handstand Pokémon,95.0,1000000,1.4,50.0,Kapoererカポエラー,Hitmontop,100.0,237,35.0,110.0,70.0,Fighting,,48.0,2,0
236,"['Oblivious', 'Forewarn', 'Hydration']",2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,0.5,2.0,2.0,1.0,30.0,6400,70,305,45,Kiss Pokémon,15.0,1000000,0.4,45.0,Muchulムチュール,Smoochum,0.0,238,85.0,65.0,65.0,Ice,Psychic,6.0,2,0
237,"['Static', 'Vital Spirit']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,63.0,6400,70,360,45,Electric Pokémon,37.0,1000000,0.6,45.0,Elekidエレキッド,Elekid,75.4,239,65.0,55.0,95.0,Electric,,23.5,2,0
238,"['Flame Body', 'Vital Spirit']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,75.0,6400,70,365,45,Live Coal Pokémon,37.0,1000000,0.7,45.0,Bubyブビィ,Magby,75.4,240,70.0,55.0,83.0,Fire,,21.4,2,0
239,"['Thick Fat', 'Scrappy', 'Sap Sipper']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,80.0,5120,70,490,45,Milk Cow Pokémon,105.0,1250000,1.2,95.0,Miltankミルタンク,Miltank,0.0,241,40.0,70.0,100.0,Normal,,75.5,2,0
240,"['Natural Cure', 'Serene Grace', 'Healer']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,10240,140,540,30,Happiness Pokémon,10.0,800000,1.5,255.0,Happinasハピナス,Blissey,0.0,242,75.0,135.0,55.0,Normal,,46.8,2,0
241,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85.0,20480,35,580,3,Thunder Pokémon,75.0,1250000,1.9,90.0,Raikouライコウ,Raikou,,243,115.0,100.0,115.0,Electric,,178.0,2,1
242,"['Pressure', 'Inner Focus']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,115.0,20480,35,580,3,Volcano Pokémon,85.0,1250000,2.1,115.0,Enteiエンテイ,Entei,,244,90.0,75.0,100.0,Fire,,198.0,2,1
243,"['Pressure', 'Inner Focus']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,75.0,20480,35,580,3,Aurora Pokémon,115.0,1250000,2.0,100.0,Suicuneスイクン,Suicune,,245,90.0,115.0,85.0,Water,,187.0,2,1
244,"['Guts', 'Sand Veil']",1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,64.0,10240,35,300,45,Rock Skin Pokémon,50.0,1250000,0.6,50.0,Yogirasヨーギラス,Larvitar,50.0,246,45.0,50.0,41.0,Rock,Ground,72.0,2,0
245,['Shed Skin'],1.0,1.0,1.0,0.0,1.0,2.0,0.5,0.5,1.0,4.0,2.0,2.0,0.5,0.25,1.0,0.5,2.0,4.0,84.0,10240,35,410,45,Hard Shell Pokémon,70.0,1250000,1.2,70.0,Sanagirasサナギラス,Pupitar,50.0,247,65.0,70.0,51.0,Rock,Ground,152.0,2,0
246,"['Sand Stream', 'Unnerve']",2.0,0.5,1.0,1.0,2.0,4.0,0.5,0.5,0.5,2.0,2.0,1.0,0.5,0.5,0.0,1.0,2.0,2.0,134.0,10240,35,700,45,Armor Pokémon,110.0,1250000,2.0,100.0,Bangirasバンギラス,Tyranitar,50.0,248,95.0,100.0,61.0,Rock,Dark,202.0,2,0
247,"['Pressure', 'Multiscale']",1.0,2.0,1.0,2.0,1.0,0.25,1.0,1.0,2.0,0.5,0.0,2.0,1.0,1.0,0.5,2.0,1.0,1.0,90.0,30720,0,680,3,Diving Pokémon,130.0,1250000,5.2,106.0,Lugiaルギア,Lugia,,249,90.0,154.0,110.0,Psychic,Flying,216.0,2,1
248,['Natural Cure'],4.0,2.0,1.0,0.5,1.0,0.5,2.0,2.0,2.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,0.5,100.0,30720,100,600,45,Time Travel Pokémon,100.0,1059860,0.6,100.0,Celebiセレビィ,Celebi,,251,100.0,100.0,100.0,Psychic,Grass,5.0,2,1
249,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,45.0,5120,70,310,45,Wood Gecko Pokémon,35.0,1059860,0.5,40.0,Kimoriキモリ,Treecko,88.1,252,65.0,55.0,70.0,Grass,,5.0,3,0
250,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,65.0,5120,70,405,45,Wood Gecko Pokémon,45.0,1059860,0.9,50.0,Juptileジュプトル,Grovyle,88.1,253,85.0,65.0,95.0,Grass,,21.6,3,0
251,"['Overgrow', 'Unburden']",2.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,0.5,85.0,5120,70,630,45,Forest Pokémon,65.0,1059860,1.7,70.0,Jukainジュカイン,Sceptile,88.1,254,105.0,85.0,120.0,Grass,,52.2,3,0
252,"['Blaze', 'Speed Boost']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,60.0,5120,70,310,45,Chick Pokémon,40.0,1059860,0.4,45.0,Achamoアチャモ,Torchic,88.1,255,70.0,50.0,45.0,Fire,,2.5,3,0
253,"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,85.0,5120,70,405,45,Young Fowl Pokémon,60.0,1059860,0.9,60.0,Wakasyamoワカシャモ,Combusken,88.1,256,85.0,60.0,55.0,Fire,Fighting,19.5,3,0
254,"['Blaze', 'Speed Boost']",0.25,0.5,1.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,0.5,2.0,120.0,5120,70,630,45,Blaze Pokémon,70.0,1059860,1.9,80.0,Bursyamoバシャーモ,Blaziken,88.1,257,110.0,70.0,80.0,Fire,Fighting,52.0,3,0
255,"['Torrent', 'Damp']",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,70.0,5120,70,310,45,Mud Fish Pokémon,50.0,1059860,0.4,50.0,Mizugorouミズゴロウ,Mudkip,88.1,258,50.0,50.0,40.0,Water,,7.6,3,0
256,"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,85.0,5120,70,405,45,Mud Fish Pokémon,70.0,1059860,0.7,70.0,Numacrawヌマクロー,Marshtomp,88.1,259,60.0,70.0,50.0,Water,Ground,28.0,3,0
257,"['Torrent', 'Damp']",1.0,1.0,1.0,0.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,110.0,5120,70,635,45,Mud Fish Pokémon,90.0,1059860,1.5,100.0,Laglargeラグラージ,Swampert,88.1,260,85.0,90.0,60.0,Water,Ground,81.9,3,0
258,"['Run Away', 'Quick Feet', 'Rattled']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,55.0,3840,70,220,255,Bite Pokémon,35.0,1000000,0.5,35.0,Pochienaポチエナ,Poochyena,50.0,261,30.0,30.0,35.0,Dark,,13.6,3,0
259,"['Intimidate', 'Quick Feet', 'Moxie']",2.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90.0,3840,70,420,127,Bite Pokémon,70.0,1000000,1.0,70.0,Graenaグラエナ,Mightyena,50.0,262,60.0,60.0,70.0,Dark,,37.0,3,0
260,"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,3840,70,240,255,Tiny Racoon Pokémon,41.0,1000000,0.4,38.0,Jiguzagumaジグザグマ,Zigzagoon,50.0,263,30.0,41.0,60.0,Normal,,17.5,3,0
261,"['Pickup', 'Gluttony', 'Quick Feet']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,3840,70,420,90,Rush Pokémon,61.0,1000000,0.5,78.0,Massugumaマッスグマ,Linoone,50.0,264,50.0,61.0,100.0,Normal,,32.5,3,0
262,"['Shield Dust', 'Run Away']",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,45.0,3840,70,195,255,Worm Pokémon,35.0,1000000,0.3,45.0,Kemussoケムッソ,Wurmple,50.0,265,20.0,30.0,20.0,Bug,,3.6,3,0
263,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35.0,3840,70,205,120,Cocoon Pokémon,55.0,1000000,0.6,50.0,Karasalisカラサリス,Silcoon,50.0,266,25.0,25.0,15.0,Bug,,10.0,3,0
264,"['Swarm', 'Rivalry']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,70.0,3840,70,395,45,Butterfly Pokémon,50.0,1000000,1.0,60.0,Agehuntアゲハント,Beautifly,50.0,267,100.0,50.0,65.0,Bug,Flying,28.4,3,0
265,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,35.0,3840,70,205,120,Cocoon Pokémon,55.0,1000000,0.7,50.0,Mayuldマユルド,Cascoon,50.0,268,25.0,25.0,15.0,Bug,,11.5,3,0
